,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequents_len
6620,"frozenset({'Product = P00057642', 'Age = 26-35'})",frozenset({'Product = P0097242'}),0.09862502121880835,0.15209641826515022,0.03089458496010864,0.3132530120481928,2.0595686316695354,0.01589407248140345,1.234666619017413,2,1
6642,"frozenset({'Product = P00110742', 'Age = 26-35'})",frozenset({'Product = P00057942'}),0.10643354269224241,0.13138686131386862,0.031573586827363775,0.2966507177033493,2.257841573631047,0.017589617714514408,1.2349669794925269,2,1
6643,"frozenset({'Product = P00057942', 'Age = 26-35'})",frozenset({'Product = P00110742'}),0.05805465965031404,0.27007299270072993,0.031573586827363775,0.543859649122807,2.0137505926979613,0.015894591155381152,1.600224592925323,2,1
6726,"frozenset({'Product = P00073842', 'Age = 26-35'})",frozenset({'Product = P00270942'}),0.0636564250551689,0.19368528263452725,0.03004583262603972,0.47200000000000003,2.436943032427695,0.01771651994772573,1.527111207131577,2,1
6727,"frozenset({'Product = P00270942', 'Age = 26-35'})",frozenset({'Product = P00073842'}),0.08334747920556781,0.15634017993549482,0.03004583262603972,0.3604887983706721,2.3057975148769048,0.017015272729871335,1.3192260243683824,2,1
6762,"frozenset({'Product = P00102642', 'Age = 26-35'})",frozenset({'Product = P00114942'}),0.07910371753522322,0.1972500424376167,0.03259208962824648,0.4120171673819743,2.088806482828925,0.016988877987450454,1.365260876730185,2,1
6860,"frozenset({'Product = P00110742', 'Age = 26-35'})",frozenset({'Product = P00111142'}),0.10643354269224241,0.17042946868103886,0.03853335596672891,0.3620414673046252,2.1242891273820192,0.02039394383584937,1.3003518078424718,2,1
6948,"frozenset({'Product = P00110742', 'Age = 26-35'})",frozenset({'Product = P0097242'}),0.10643354269224241,0.15209641826515022,0.03462909523001188,0.3253588516746411,2.139161825017088,0.018440934603250858,1.2568216211530752,2,1
6954,"frozenset({'Product = P00110842', 'Age = 26-35'})",frozenset({'Product = P00111142'}),0.0908164997453743,0.17042946868103886,0.031064335426922423,0.34205607476635513,2.0070242394906357,0.01558652762784658,1.260852938226262,2,1
6964,"frozenset({'Product = P00110942', 'Age = 26-35'})",frozenset({'Product = P00111142'}),0.08810049227635376,0.17042946868103886,0.03038533355966729,0.3448940269749518,2.0236760088739456,0.01537041347047035,1.2663150169251203,2,1
